Symbol	Description
4AIM	4Aim Societa di Investimento per Azioni a Capitale Fisso
A2A	A2A S.p.A
AAPL	Apple Inc.
ABC	ABC Co. S.p.A. Societa Benefit
ABI	Anheuser Busch Inbev SA NV
ABS	Arterra Bioscience S.p.A.
ABT	Abitare In S.p.A
ABTG	Alfio Bardolla Training Group SpA
AC5	Acinque S.p.A.
ACA	Crédit Agricole S.A
ACE	ACEA S.p.A
AD	Koninklijke Ahold Delhaize NV
ADB	Aeroporto Guglielmo Marconi di Bologna SpA
ADS	adidas AG
AED	Aedes SIIQ S.p.A
AEF	Aeffe S.p.A.
AGA	Agatos S.p.A
AGL	Autogrill S.p.A.
AGS	ageas SA/NV
AI	L'Air Liquide S.A
AIR	Airbus Group SE
ALK	Alkemy S.p.A.
ALV	Allianz SE VNA O.N.
ALW	algoWatt SpA
AMB	Ambromobiliare S.p.A
AMD	Advanced Micro Devices Inc.
AMP	Amplifon S.p.A
AMZN	Amazon.com Inc
ANIM	Anima Holding SpA
ARN	Alerion Cleanpower
ASC	Ascopiave S.p.A.
ASML	ASML Holding NV
ATH	Ambienthesis S.p.A
AUTME	Autostrade Meridionali S.p.A
AV	Antares Vision S.p.A
AVIO	Avio S.p.A
AXA	AXA SA
AZM	Azimut Holding S.p.A
B	Bastogi S.p.A
BAMI	Banco Bpm SpA
BAN	BasicNet S.p.A
BASF	BASF SE NA O.N.
BAY	Bayer Aktiengesellschaft
BB	BB Biotech AG
BBVA	Banco Bilbao Vizcaya Argentaria SA
BC	Brunello Cucinelli S.p.A
BDB	Banco di Desio e della Brianza S.p.A.
BE	Beghelli
BEC	B&C Speakers S.p.A
BEI	Beiersdorf Aktiengesellschaft
BFC	BFC Media S.p.A.
BFF	BFF Bank SpA
BFG	BF Holding SpA
BGN	Banca Generali S.p.A.
BIA	Bialetti Industrie
BIE	Bioera
BIM	Banca Intermobiliare di Investimenti e Gestioni SpA
BMED	Banca Mediolanum SpA
BMPS	Banca Monte dei Paschi di Siena SpA
BMW	Bayerische Motoren Werke AG
BNP	BNP Paribas SA
BO	Borgosesia S.p.A
BPE	BPER Banca SpA
BPSO	Banca Popolare di Sondrio S.p.A.
BRE	Brembo S.p.A.
BRI	Brioschi Sviluppo Immobiliare S.p.A
BSS	Biesse
BST	Banca Sistema S.p.A
BZU	Buzzi Unicem
CAI	Cairo Communication
CALT	Caltagirone SpA
CBB	CleanBnB S.p.A
CBK	Commerzbank AG
CDG	Casta Diva Group S.p.A
CE	Credito Emiliano S.p.A
CED	Caltagirone Editore
CELL	Cellularline
CEM	Cementir Holding N.V
CFM	CrowdFundMe SpA
CFV	Confinvest F.L. S.p.A
CIA	Compagnia Immobiliare Azionaria S.p.A
CIR	CIR S.p.A. - Compagnie Industriali Riunite
CIRC	Circle SpA
CLA	Clabo S.p.A
CLE	Class Editori Spa
CLF	Caleffi S.p.A
CLI	Centrale del Latte d'Italia S.p.A
CMB	Cembre S.p.A.
CNF	Conafi S.p.A
CNHI	CNH Industrial NV
COM	Comer Industries S.p.A
COP	Copernico Sim S.p.A
COV	Cover 50 SpA
CPR	Davide Campari-Milano N.V
CRL	Carel Industries S.p.A
CRR	Carrefour SA
CSP	CSP International
CULT	Culti Milano SpA
CVO	Covivio SA
CYB	Cyberoo Spa
DAL	Datalogic
DAN	Danieli & C. Officine Meccaniche S.p.A
DANR	Danieli & C. Officine Meccaniche S.p.A
DB1	Deutsche Börse AG
DBA	DBA Group SpA
DBK	Deutsche Bank AG NA O.N.
DEA	DeA Capital
DG	Vinci S.A.
DGT	Digitouch SPA
DGV	Digital Value SpA
DHH	DHH SpA
DIA	DiaSorin S.p.A
DIB	Digital Bros
DIG	Digital360 S.p.A
DIS	d'Amico International Shipping S.A
DLG	De Longhi SpA
DM	Digital Magics S.p.A
DNN	Danone SA
DOV	doValue S.p.A
DOX	Doxee S.p.A
DPW	Deutsche Post AG
DTE	Deutsche Telekom AG Na
ECK	Ecosuntek S.p.A
ECNL	Aquafil SpA
EDAC	Ediliziacrobatica
EDNR	Edison S.p.A
EEMS	EEMS Italia SpA
EL	EssilorLuxottica Société anonyme
ELC	Elica S.p.A
ELES	Eles Semiconductor Equipment SpA
ELN	EL.En. S.p.A.
EM	Emak S.p.A
ENAV	Enav SpA
ENEL	Enel SpA
ENGI	Engie S.A.
ENI	Eni SpA
ENT	Enertronica Santerno S.p.A
ENV	Enervit S.p.A
EOAN	E.ON SE
EPR	ePRICE S.p.A.
EQUI	Equita Group SpA
ERG	ERG S.p.A
ESAU	Esautomotion SpA
ETH	Eurotech S.p.A.
EUK	EuKedos S.p.A
EVA	Askoll Eva SpA
EVK	Evonik Industries AG
EXAI	ExpertAi SpA
FAR	Farmaè S.p.A
FARM	H-Farm S.p.A
FBK	FinecoBank Banca Fineco SpA
FCM	Friulchem SpA
FCT	Fincantieri SpA
FDA	Fidia SpA
FDE	Frendy Energy
FF	Fine Foods & Pharmaceuticals NTM SpA
FIC	First Capital S.p.A
FILA	Fila SpA
FKR	Falck Renewables S.p.A
FM	Fiera Milano SpA
FME	Fresenius Medical Care AG & Co. KGaA
FNL	Finlogic SpA
FNM	FNM S.p.A
FOS	Fos SpA
