Date,Open,High,Low,Close
01/06/1972,2.149165,2.173495,2.149165,2.15322
02/06/1972,2.15322,2.173495,2.141055,2.149165
05/06/1972,2.149165,2.16944,2.141055,2.149165
06/06/1972,2.149165,2.157275,2.116725,2.124835
07/06/1972,2.124835,2.137,2.112669,2.112669
08/06/1972,2.112669,2.12889,2.096449,2.096449
09/06/1972,2.096449,2.100504,2.043734,2.084284
12/06/1972,2.084284,2.108614,2.068064,2.084284
13/06/1972,2.084284,2.104559,2.084284,2.100504
14/06/1972,2.108614,2.15322,2.108614,2.132945
15/06/1972,2.132945,2.15322,2.12078,2.124835
16/06/1972,2.124835,2.132945,2.100504,2.132945
19/06/1972,2.132945,2.14511,2.112669,2.12078
20/06/1972,2.12078,2.141055,2.12078,2.12889
21/06/1972,2.12889,2.132945,2.108614,2.108614
22/06/1972,2.104559,2.104559,2.076174,2.096449
23/06/1972,2.092394,2.092394,2.072119,2.092394
26/06/1972,2.092394,2.092394,2.076174,2.084284
27/06/1972,2.084284,2.100504,2.084284,2.100504
28/06/1972,2.100504,2.112669,2.092394,2.096449
29/06/1972,2.096449,2.104559,2.088339,2.088339
30/06/1972,2.076174,2.076174,2.051844,2.072119
03/07/1972,2.072119,2.072119,2.051844,2.064009
05/07/1972,2.064009,2.068064,2.031569,2.051844
06/07/1972,2.059954,2.096449,2.059954,2.076174
07/07/1972,2.076174,2.088339,2.051844,2.068064
10/07/1972,2.068064,2.072119,2.043734,2.043734
11/07/1972,2.043734,2.059954,2.031569,2.031569
12/07/1972,2.031569,2.059954,2.015349,2.015349
13/07/1972,2.015349,2.019404,1.991019,2.015349
14/07/1972,2.015349,2.027514,2.007239,2.011294
17/07/1972,2.011294,2.027514,2.003184,2.011294
18/07/1972,2.011294,2.035624,1.978854,2.031569
19/07/1972,2.031569,2.076174,2.027514,2.043734
20/07/1972,2.043734,2.051844,2.015349,2.015349
21/07/1972,2.015349,2.051844,2.015349,2.043734
24/07/1972,2.059954,2.112669,2.059954,2.100504
25/07/1972,2.100504,2.104559,2.084284,2.092394
26/07/1972,2.092394,2.092394,2.080229,2.084284
27/07/1972,2.084284,2.088339,2.076174,2.076174
28/07/1972,2.084284,2.112669,2.084284,2.096449
31/07/1972,2.096449,2.112669,2.088339,2.096449
01/08/1972,2.096449,2.100504,2.076174,2.096449
02/08/1972,2.096449,2.124835,2.096449,2.124835
03/08/1972,2.137,2.181605,2.137,2.16133
04/08/1972,2.16133,2.16944,2.16133,2.16944
07/08/1972,2.16944,2.181605,2.16944,2.173495
08/08/1972,2.173495,2.173495,2.157275,2.165385
09/08/1972,2.165385,2.16944,2.12078,2.132945
10/08/1972,2.132945,2.137,2.12078,2.137
11/08/1972,2.141055,2.157275,2.141055,2.15322
14/08/1972,2.16133,2.17755,2.16133,2.165385
15/08/1972,2.165385,2.16944,2.132945,2.149165
16/08/1972,2.141055,2.141055,2.092394,2.092394
17/08/1972,2.092394,2.12889,2.092394,2.12889
18/08/1972,2.12889,2.137,2.124835,2.12889
21/08/1972,2.12889,2.137,2.112669,2.137
22/08/1972,2.15322,2.17755,2.15322,2.16944
23/08/1972,2.173495,2.258651,2.173495,2.254596
24/08/1972,2.254596,2.254596,2.2181,2.222155
25/08/1972,2.222155,2.22621,2.19377,2.19377
28/08/1972,2.19377,2.214045,2.19377,2.19377
29/08/1972,2.189715,2.189715,2.12889,2.157275
30/08/1972,2.157275,2.157275,2.141055,2.141055
31/08/1972,2.141055,2.18566,2.141055,2.18566
01/09/1972,2.18566,2.20188,2.181605,2.18566
05/09/1972,2.18566,2.19377,2.157275,2.157275
06/09/1972,2.157275,2.157275,2.12889,2.141055
07/09/1972,2.14511,2.16944,2.14511,2.149165
08/09/1972,2.149165,2.16133,2.141055,2.14511
11/09/1972,2.14511,2.14511,2.137,2.141055
12/09/1972,2.141055,2.141055,2.112669,2.116725
13/09/1972,2.116725,2.12889,2.100504,2.12889
14/09/1972,2.12889,2.141055,2.116725,2.124835
15/09/1972,2.124835,2.137,2.12078,2.12889
18/09/1972,2.124835,2.124835,2.112669,2.124835
19/09/1972,2.124835,2.12889,2.112669,2.116725
20/09/1972,2.116725,2.12078,2.088339,2.100504
21/09/1972,2.092394,2.092394,2.047789,2.051844
22/09/1972,2.051844,2.068064,2.043734,2.068064
25/09/1972,2.068064,2.084284,2.059954,2.072119
26/09/1972,2.072119,2.092394,2.068064,2.084284
27/09/1972,2.084284,2.12078,2.084284,2.116725
28/09/1972,2.116725,2.14511,2.100504,2.14511
29/09/1972,2.157275,2.173495,2.157275,2.16133
02/10/1972,2.16133,2.173495,2.157275,2.165385
03/10/1972,2.165385,2.165385,2.12889,2.132945
04/10/1972,2.132945,2.149165,2.12889,2.12889
05/10/1972,2.12889,2.12889,2.108614,2.116725
06/10/1972,2.116725,2.12078,2.080229,2.116725
09/10/1972,2.116725,2.132945,2.112669,2.124835
10/10/1972,2.132945,2.15322,2.132945,2.141055
11/10/1972,2.137,2.137,2.12078,2.137
12/10/1972,2.12889,2.12889,2.12078,2.12078
13/10/1972,2.12078,2.124835,2.076174,2.088339
16/10/1972,2.084284,2.084284,2.068064,2.076174
17/10/1972,2.076174,2.076174,2.059954,2.068064
18/10/1972,2.068064,2.096449,2.068064,2.076174
19/10/1972,2.076174,2.076174,2.059954,2.064009
20/10/1972,2.068064,2.104559,2.068064,2.100504
23/10/1972,2.100504,2.116725,2.100504,2.104559
24/10/1972,2.108614,2.137,2.108614,2.137
